Id,Label,Degree,Betweenness,Expression
6714,SRC,251,244294.81,0.738095238095238
6135,RPL11,133,39426.69,-0.785714285714286
6124,RPL4,133,23559.6,-0.761904761904762
6175,RPLP0,129,25603.86,-0.880952380952381
6122,RPL3,126,26302.37,-0.761904761904762
4736,RPL10A,117,15980.89,-0.738095238095238
6137,RPL13,104,14597.01,-0.857142857142857
285855,RPL7L1,98,8363.32,-0.857142857142857
6134,RPL10,98,3764.5,-0.785714285714286
6203,RPS9,94,7970.4,-0.880952380952381
6130,RPL7A,86,3632.12,-0.857142857142857
6430,SRSF5,72,62278.36,-0.80952380952381
6627,SNRPA1,72,43502.84,-0.833333333333333
6173,RPL36A,69,1776.58,-0.928571428571429
1026,CDKN1A,65,87331.43,-0.80952380952381
4173,MCM4,46,36109.22,-0.761904761904762
53981,CPSF2,39,20152.61,-0.761904761904762
9636,ISG15,37,28502.24,-0.761904761904762
3164,NR4A1,37,26984.81,-0.833333333333333
7187,TRAF3,34,27787.08,-0.785714285714286
7316,UBC,33,229930.5,0
6883,TAF12,33,30443.5,-0.880952380952381
2175,FANCA,24,26721.75,-0.857142857142857
1968,EIF2S3,24,13788.34,-0.738095238095238
1796,DOK1,21,8962.67,0.761904761904762
5571,PRKAG1,20,15842.21,-0.80952380952381
6606,SMN1,20,12335.21,-0.785714285714286
842,CASP9,18,12578.69,-0.738095238095238
2176,FANCC,17,11772.27,-0.833333333333333
6233,RPS27A,14,17107.55,0
7517,XRCC3,14,11886.5,-0.833333333333333
8932,MBD2,13,10901.5,0.833333333333333
84321,THOC3,13,10414.73,-0.738095238095238
7311,UBA52,13,3739.91,0
6125,RPL5,13,3078.54,0
10399,RACK1,12,26147.56,0
79109,MAPKAP1,12,15836.4,-0.857142857142857
8189,SYMPK,12,1027.1,-0.785714285714286
9045,RPL14,12,430.77,0
2197,FAU,12,430.77,0
4190,MDH1,11,9915,-0.761904761904762
6205,RPS11,11,415.91,0
6132,RPL8,11,82.07,0
6156,RPL30,11,0.2,0
6217,RPS16,11,0.2,0
6193,RPS5,11,0.2,0
6142,RPL18A,11,0.2,0
6128,RPL6,11,0.2,0
25873,RPL36,11,0.2,0
6155,RPL27,11,0.2,0
6208,RPS14,11,0.2,0
6138,RPL15,11,0.2,0
6210,RPS15A,11,0.2,0
6201,RPS7,11,0.2,0
6189,RPS3A,11,0.2,0
