Id,Label,Degree,Betweenness,Expression
5879,RAC1,226,308844.68,0.942857142857143
983,CDK1,191,259557.11,-0.942857142857143
60,ACTB,113,161123.32,1
6161,RPL32,94,84497.17,0.885714285714286
6634,SNRPD3,83,103309.52,0.885714285714286
6165,RPL35A,77,51327.28,0.885714285714286
4809,SNU13,73,86366.67,0.885714285714286
9212,AURKB,70,78526.02,-0.942857142857143
1855,DVL1,64,67810.59,-0.942857142857143
5699,PSMB10,61,34893.51,-0.942857142857143
5719,PSMD13,50,33836.7,-0.885714285714286
7316,UBC,45,662758.31,0
4218,RAB8A,45,41046.53,-0.885714285714286
10987,COPS5,43,69511.05,-0.942857142857143
9533,POLR1C,41,80636.42,-1
5976,UPF1,40,67659.93,-0.942857142857143
5901,RAN,40,56422.98,0.885714285714286
4998,ORC1,40,26457.12,-0.885714285714286
26155,NOC2L,38,63079.36,-0.885714285714286
1454,CSNK1E,38,44650.26,0.942857142857143
9136,RRP9,36,43267.82,-0.885714285714286
7979,SHFM1,36,23440.96,-0.885714285714286
6428,SRSF3,33,15860.67,-0.885714285714286
5465,PPARA,32,45235.58,-0.942857142857143
5715,PSMD9,31,8754.66,1
7332,UBE2L3,30,38748.1,0.942857142857143
5590,PRKCZ,30,28496.1,-0.885714285714286
7384,UQCRC1,27,67724,0.885714285714286
23028,KDM1A,27,29842.96,-0.942857142857143
56949,XAB2,25,17148.83,-0.942857142857143
4627,MYH9,23,21511.31,0.885714285714286
7353,UFD1L,22,30459.92,0.942857142857143
85236,HIST1H2BK,21,26883.61,0.885714285714286
840,CASP7,21,26458.68,0.942857142857143
396,ARHGDIA,21,18112.31,0.885714285714286
1123,CHN1,19,3204.77,0.942857142857143
162,AP1B1,17,23963.22,0.885714285714286
55917,CTTNBP2NL,16,21578.4,0.885714285714286
29101,SSU72,16,19620.85,-0.885714285714286
1072,CFL1,16,15938.66,0.942857142857143
6904,TBCD,16,11940.02,-0.885714285714286
5606,MAP2K3,15,13703.75,-0.885714285714286
23016,EXOSC7,13,16835.1,-0.885714285714286
125476,INO80C,13,6302.98,0.885714285714286
9512,PMPCB,12,27380,-0.885714285714286
51119,SBDS,12,15316.78,0.942857142857143
83444,INO80B,12,4769.98,-1
64601,VPS16,11,22686.48,-0.885714285714286
2395,FXN,10,16805,0.942857142857143
4191,MDH2,10,13761,0.885714285714286
6470,SHMT1,10,13761,-0.942857142857143
55048,VPS37C,10,11203.81,-0.942857142857143
11267,SNF8,10,9172.76,-0.885714285714286
7311,UBA52,9,19581.92,0
25978,CHMP2B,9,9171.76,0.885714285714286
2063,NR2F6,9,6131,-0.885714285714286
4116,MAGOH,8,26784.54,0
6233,RPS27A,8,11890.04,0
26276,VPS33B,8,3617.56,-0.885714285714286
55656,INTS8,8,2157.97,-0.885714285714286
2787,GNG5,7,9183,0.885714285714286
55920,RCC2,7,3679.24,-0.942857142857143
7157,TP53,6,13614.52,0
5876,RABGGTB,6,7655,-0.942857142857143
5716,PSMD10,6,3052.75,0
387,RHOA,6,2033.5,0
10362,HMG20B,6,1341.77,-0.942857142857143
7314,UBB,6,738.63,0
5705,PSMC5,6,566.2,0
5700,PSMC1,6,566.2,0
5702,PSMC3,6,566.2,0
5701,PSMC2,6,566.2,0
5706,PSMC6,6,566.2,0
3065,HDAC1,5,6011.06,0
10382,TUBB4A,5,5771,0
10383,TUBB4B,5,5771,0
64750,SMURF2,5,4624.89,-0.885714285714286
140739,UBE2F,5,4596.5,0.942857142857143
5718,PSMD12,5,2094.59,0
10527,IPO7,5,1548.6,-0.885714285714286
998,CDC42,5,914.34,0
5707,PSMD1,5,422.16,0
5689,PSMB1,5,422.16,0
5692,PSMB4,5,422.16,0
5709,PSMD3,5,422.16,0
5704,PSMC4,5,174.86,0
3320,HSP90AA1,4,14491.15,0
3725,JUN,4,13894.58,0
51602,NOP58,4,11134.56,0
5688,PSMA7,4,7310.56,0
84365,NIFK,4,5828.63,0
8607,RUVBL1,4,4999.22,0
10856,RUVBL2,4,4999.22,0
57470,LRRC47,4,4596,-0.885714285714286
3326,HSP90AB1,4,4406.37,0
301,ANXA1,4,3582.65,0.885714285714286
984,CDK11B,4,3372.24,-0.942857142857143
7415,VCP,4,3185.44,0
5062,PAK2,4,3115.31,0
6618,SNAPC2,4,3065.5,-0.942857142857143
7277,TUBA4A,4,3042.43,0
7846,TUBA1A,4,3042.43,0
5903,RANBP2,4,2179.18,0
5684,PSMA3,4,1797.35,0
27341,RRP7A,4,1680.88,0.885714285714286
6135,RPL11,4,1337.88,0
388,RHOB,4,600.71,0
389,RHOC,4,600.71,0
5713,PSMD7,4,371.26,0
5714,PSMD8,4,371.26,0
5708,PSMD2,4,371.26,0
9861,PSMD6,4,371.26,0
5687,PSMA6,4,371.26,0
10213,PSMD14,4,371.26,0
6147,RPL23A,4,248.69,0
5686,PSMA5,4,113.85,0
5685,PSMA4,4,113.85,0
5695,PSMB7,4,113.85,0
5690,PSMB2,4,113.85,0
5682,PSMA1,4,113.85,0
1017,CDK2,4,72.36,0
5717,PSMD11,4,31.32,0
5501,PPP1CC,3,16918.23,0
5515,PPP2CA,3,11768.19,0
5594,MAPK1,3,9508.06,0
5970,RELA,3,8835.11,0
6207,RPS13,3,7723.98,0
23411,SIRT1,3,7699.13,0
5431,POLR2B,3,6318.72,0
79050,NOC4L,3,5389.54,0
5925,RB1,3,5352.91,0
332,BIRC5,3,5076.03,0
6714,SRC,3,4887.05,0
9128,PRPF4,3,4593,0
2091,FBL,3,4295.63,0
10528,NOP56,3,4295.63,0
367,AR,3,3594.12,0
826,CAPNS1,3,3065,0.942857142857143
51582,AZIN1,3,3065,-0.942857142857143
8541,PPFIA3,3,3065,-0.885714285714286
64852,TUT1,3,3065,-0.885714285714286
8452,CUL3,3,2825.74,0
7528,YY1,3,2799.2,0
86,ACTL6A,3,2196.32,0
1778,DYNC1H1,3,2041.25,0
6132,RPL8,3,1933.96,0
51069,MRPL2,3,1933.96,0
9775,EIF4A3,3,1888.48,0
8841,HDAC3,3,1875.34,0
51377,UCHL5,3,1573.92,0
7884,SLBP,3,1533.5,0.942857142857143
7879,RAB7A,3,1360.24,0
22916,NCBP2,3,1333.89,0
4686,NCBP1,3,1333.89,0
10594,PRPF8,3,1251.29,0
9343,EFTUD2,3,1251.29,0
1499,CTNNB1,3,1222.62,0
1857,DVL3,3,1222.62,0
1856,DVL2,3,1222.62,0
10921,RNPS1,3,1171.03,0
64320,RNF25,3,1137.33,0.942857142857143
1453,CSNK1D,3,1131.7,0
91782,CHMP7,3,1009.67,-0.885714285714286
57154,SMURF1,3,955.3,0
6194,RPS6,3,941.21,0
6188,RPS3,3,941.21,0
8175,SF3A2,3,876.2,0
79784,MYH14,3,829.59,0
2197,FAU,3,790.88,0
26986,PABPC1,3,562.94,0
4641,MYO1C,3,540.55,0
5058,PAK1,3,425.73,0
5599,MAPK8,3,425.73,0
7430,EZR,3,379.33,0
3184,HNRNPD,3,367.77,0
4670,HNRNPM,3,367.77,0
6431,SRSF6,3,367.77,0
3178,HNRNPA1,3,367.77,0
8683,SRSF9,3,367.77,0
3181,HNRNPA2B1,3,367.77,0
6426,SRSF1,3,367.77,0
6429,SRSF4,3,367.77,0
220988,HNRNPA3,3,367.77,0
6430,SRSF5,3,367.77,0
6625,SNRNP70,3,367.77,0
23433,RHOQ,3,239.3,0
3066,HDAC2,3,139.85,0
7324,UBE2E1,3,135.47,0
7321,UBE2D1,3,135.47,0
996,CDC27,3,135.47,0
891,CCNB1,3,134.99,0
51343,FZR1,3,134.99,0
6125,RPL5,3,63.91,0
6156,RPL30,3,63.91,0
9349,RPL23,3,63.91,0
6129,RPL7,3,63.91,0
6142,RPL18A,3,63.91,0
6143,RPL19,3,63.91,0
6138,RPL15,3,63.91,0
6229,RPS24,3,63.91,0
6168,RPL37A,3,63.91,0
6141,RPL18,3,63.91,0
27243,CHMP2A,3,45.25,0
5683,PSMA2,3,19.68,0
5710,PSMD4,3,19.68,0
128866,CHMP4B,3,13.95,0
92421,CHMP4C,3,13.95,0
8658,TNKS,3,1.77,0
80351,TNKS2,3,1.77,0
5518,PPP2R1A,2,15753.2,0
5315,PKM,2,15240,0
705,BYSL,2,11968.54,0
5394,EXOSC10,2,10349.69,0
81876,RAB1B,2,9168,0
3692,EIF6,2,8901.29,0
329,BIRC2,2,8773.78,0
22894,DIS3,2,7928.41,0
8417,STX7,2,7871.49,0
4830,NME1,2,6378.6,0
9100,USP10,2,6120,0
7385,UQCRC2,2,5741.8,0
7381,UQCRB,2,5741.8,0
7386,UQCRFS1,2,5741.8,0
1537,CYC1,2,5741.8,0
9377,COX5A,2,5741.8,0
1956,EGFR,2,4915.06,0
29127,RACGAP1,2,4341.29,0
23175,LPIN1,2,4096.89,0
1024,CDK8,2,4096.89,0
1973,EIF4A1,2,3903.78,0
5604,MAP2K1,2,3470.28,0
595,CCND1,2,3470.28,0
10928,RALBP1,2,3470.28,0
5578,PRKCA,2,3470.28,0
1020,CDK5,2,3470.28,0
4067,LYN,2,3470.28,0
1869,E2F1,2,3343.89,0
4089,SMAD4,2,3340.95,0
841,CASP8,2,3064,0
23479,ISCU,2,3064,0
5111,PCNA,2,3064,0
8453,CUL2,2,3064,0
4738,NEDD8,2,3058,0
8454,CUL1,2,3058,0
57531,HACE1,2,2951.24,0
4092,SMAD7,2,2802.94,0
6908,TBP,2,2295,0
6621,SNAPC4,2,2295,0
10413,YAP1,2,2034.14,0
1027,CDKN1B,2,1858.29,0
9793,CKAP5,2,1754.29,0
55904,KMT2E,2,1747.5,0
5499,PPP1CA,2,1747.5,0
142,PARP1,2,1732.14,0
22984,PDCD11,2,1669.03,0
23008,KLHDC10,2,1533,-0.885714285714286
1642,DDB1,2,1533,0
9191,DEDD,2,1533,0.942857142857143
81889,FAHD1,2,1533,0.942857142857143
27247,NFU1,2,1533,0.942857142857143
25888,ZNF473,2,1531,0
84967,LSM10,2,1531,0
3172,HNF4A,2,1525,0
4929,NR4A2,2,1525,0
6258,RXRG,2,1525,0
3164,NR4A1,2,1525,0
3174,HNF4G,2,1525,0
1161,ERCC8,2,1495.02,0
2074,ERCC6,2,1326.5,0
8878,SQSTM1,2,1053.97,0
22938,SNW1,2,943.92,0
5585,PKN1,2,754.99,0
58,ACTA1,2,737.85,0
7175,TPR,2,680.4,0
7341,SUMO1,2,641.86,0
54973,CPSF3L,2,641.86,0
7428,VHL,2,548.15,0
4620,MYH2,2,540.55,0
4622,MYH4,2,540.55,0
4851,NOTCH1,2,474.77,0
2146,EZH2,2,460.84,0
4659,PPP1R12A,2,460.84,0
3006,HIST1H1C,2,426.03,0.942857142857143
6500,SKP1,2,400.86,0
10482,NXF1,2,399.38,0
9373,PLAA,2,399.03,0
675,BRCA2,2,364.75,0
653361,NCF1,2,362.8,0
207,AKT1,2,362.8,0
84552,PARD6G,2,362.8,0
50855,PARD6A,2,362.8,0
7074,TIAM1,2,362.8,0
5584,PRKCI,2,362.8,0
84612,PARD6B,2,362.8,0
10291,SF3A1,2,307.36,0
23450,SF3B3,2,307.36,0
6627,SNRPA1,2,307.36,0
27339,PRPF19,2,307.36,0
23451,SF3B1,2,307.36,0
51362,CDC40,2,307.36,0
4236,MFAP1,2,307.36,0
988,CDC5L,2,307.36,0
51340,CRNKL1,2,307.36,0
896,CCND3,2,303.99,0
1432,MAPK14,2,297.43,0
6300,MAPK12,2,297.43,0
4217,MAP3K5,2,297.43,0
4215,MAP3K3,2,297.43,0
4216,MAP3K4,2,297.43,0
8766,RAB11A,2,289.04,0
7531,YWHAE,2,286.96,0
7532,YWHAG,2,286.96,0
10121,ACTR1A,2,286.96,0
51388,NIP7,2,280.66,0
23212,RRS1,2,280.66,0
1736,DKC1,2,280.66,0
51154,MRTO4,2,280.66,0
26354,GNL3,2,280.66,0
9295,SRSF11,2,221.43,0
3192,HNRNPU,2,221.43,0
7307,U2AF1,2,221.43,0
3190,HNRNPK,2,221.43,0
2932,GSK3B,2,216.86,0
59349,KLHL12,2,203.69,0
23072,HECW1,2,203.69,0
26043,UBXN7,2,184.11,0
10277,UBE4B,2,184.11,0
7337,UBE3A,2,184.11,0
1660,DHX9,2,146.34,0
10250,SRRM1,2,146.34,0
11338,U2AF2,2,146.34,0
6502,SKP2,2,142.82,0
375,ARF1,2,133.87,0
120892,LRRK2,2,128.3,0
9150,CTDP1,2,112.37,0
84617,TUBB6,2,91.23,0
81027,TUBB1,2,91.23,0
84790,TUBA1C,2,91.23,0
347733,TUBB2B,2,91.23,0
7280,TUBB2A,2,91.23,0
5822,PWP2,2,81.38,0
84916,UTP4,2,81.38,0
85409,NKD2,2,52.79,0
59,ACTA2,2,47.94,0
130502,TTC32,2,31.68,-1
54822,TRPM7,2,27.78,0
5905,RANGAP1,2,27.53,0
7514,XPO1,2,27.53,0
7322,UBE2D2,2,24.17,0
137886,UBXN2B,2,17.8,-0.885714285714286
7251,TSG101,2,10.75,0
51160,VPS28,2,10.75,0
80227,PAAF1,2,1.77,0
5880,RAC2,2,0.23,0
171177,RHOV,2,0.23,0
54509,RHOF,2,0.23,0
