ID	EPOF21	EPO8	EPO7	EPOB9	EPOI2
ERP44	2384.30339642094	1914.03042667237	2008.55423436789	1833.92540420791	1877.02875262509
USP13	1994.8547434248	1826.12746947183	1335.47267787906	1466.0085843893	1485.8346440637
UFD1	3240.82228819251	2443.93650612594	2914.68315769699	2488.06152313743	2577.75295313693
DERL2	1750.73104651907	1297.14985635738	1239.75825506932	1354.34346782527	1389.97010826369
GSK3B	2574.0795217877	2277.12816098167	2145.11702919325	2209.87325753685	2145.45698908943
PPP1R15A	3233.52570359282	2171.81815493809	2015.88681539235	1791.65948178519	2292.96542003855
DNAJB11	4094.97631541038	2619.16573444521	2022.38120093931	2639.11321628393	2668.35328038264
BAG6	527.881816389261	326.862811551526	387.114570197874	344.604546199577	430.690235019248
GSK3A	4673.44444774525	3661.67721221821	3881.64896807258	3843.77045697103	3721.98969932476
WFS1	1372.30919946703	944.566247314625	709.292193921671	1074.57270670947	1035.75685214593
HSPA8	27640.9104623965	19888.4336450369	21572.3534857982	18128.3987107084	20753.2662023536
RASGRF2	139.05611823223	655.520268791737	480.145298014553	366.737061492627	404.491491293301
AUP1	4327.64196341582	3186.83546307296	2942.69450598582	3190.82779624547	3262.18274779973
FBXO2	145.596795614675	293.522722791614	230.104652446956	178.368681869343	278.060194143522
FBXO6	78.4882262552699	143.181556562473	142.489724534005	146.931174397861	128.744953282267
CTH	326.932347321895	624.338776384507	445.301915847892	356.624428676718	437.423445505081
CLU	3820.99717628795	2593.5399010741	1730.55546167244	1822.52692794303	3659.86865529765
SSR1	5838.75105149345	4110.88709212887	4166.40481937797	4568.17301016461	4185.50800959997
CHAC1	123.550577132136	310.41690617818	212.349970341385	159.351276643289	180.908511709383
SESN2	2228.92519374085	1692.65844626957	1824.62327421031	1493.47398693575	2090.27157892666
UBE4B	2165.33295082669	2482.40524945052	3213.58245858807	2422.73565978323	2822.31532759427
SERINC3	4188.30864686352	3638.61877340104	2764.95063251776	3014.80440440726	3387.48285099856
TOR1A	2375.07144848776	1840.23241975154	1780.07642537767	1794.34826068219	1706.23287370211
TMBIM6	22229.4114703423	20689.6633851331	16510.9218216169	16656.1515923109	18019.3347478006
HYOU1	3067.25283078851	1765.13135905672	1612.28629214891	2367.68436736554	2648.51628552426
ATP6V0D1	2687.30377053923	2010.21522220844	1728.76261452753	1916.47939303079	2055.31784286552
SYVN1	1737.69526849462	943.37866438462	995.143292813016	1250.25260968182	1328.35617895587
ATF3	3356.78172677974	2822.60716377762	2379.13457206301	2138.41588248978	2547.60224460827
ANKZF1	487.608773606001	515.727438595513	621.476539933651	773.750304604534	795.483981972966
BRSK2	1268.18560497063	720.245482241608	520.436097599421	793.281040241801	1110.83052539767
SRPRA	4970.47717555016	4072.40464476179	4048.9434958585	4128.97298936231	4325.49678961958
P4HB	16907.0998517041	15233.8303841678	12878.5719930092	13815.5844034358	14862.3432651415
BCAP31	5907.75589353709	4949.79155314262	4278.89386485622	4512.76833477826	4794.37651037715
DDRGK1	1839.92569382514	971.122080660657	1377.020486285	1348.57704830097	1467.87710092592
UBE2J1	4637.01460724619	3235.94904018638	3346.25409709753	3373.26096828486	3350.48918149728
HSPA1A	72402.3259816858	133542.933888151	235077.831468693	98625.8743621231	116277.464415403
HSPA1L	56.9097936035134	106.40032439976	143.498296613135	75.7282982973721	75.0605876951656
HSPA1B	174.551334097229	344.709035272693	820.558952965732	382.566232869395	341.168759498184
ATF6B	1008.51799533179	497.67911622742	226.180041785219	312.868044821871	299.039589016947
