EPO7_I_6	EPO7_II_6	EPO8_I_6	EPO8_II_6	EPOB9_I_8	EPOB9_II_6	EPOF21_I_6	EPOF21_II_1	EPOF21_II_3	EPOI2_I_6	EPOI2_II_6
#CLASS:  sampleName	EPO7	EPO7	EPO8	EPO8	EPOB9	EPOB9	EPOF21	EPOF21	EPOF21	EPOI2	EPOI2
#CLASS:  protein	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO	EPO
#CLASS:  producibility	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer	Producer
#CLASS:  cellType	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle	HEK293freestyle
E1A	16137	15378	34220	21978	25263	13396	17500	12052	4971	17305	16901
E1B	65781	66888	110218	68351	156817	75907	72048	42444	17111	86628	93832
ENSG00000000003	4851	5461	8924	5611	12882	7542	8280	4504	1830	5863	6470
ENSG00000000005	2	0	5	11	25	10	1	1	1	1	1
ENSG00000000419	2043	2511	2869	1988	3930	2330	2203	1095	454	1822	2032
ENSG00000000457	393	401	573	343	832	454	384	218	96	370	424
ENSG00000000460	1097	1108	1440	856	2130	1219	1223	662	273	1028	1043
ENSG00000000938	1	0	0	2	2	0	0	0	0	0	0
ENSG00000000971	10	3	38	25	54	42	13	16	2	30	19
ENSG00000001036	4305	3881	5298	3608	9919	5465	5685	3513	1462	4927	4813
ENSG00000001084	2146	2162	2324	1605	4311	2342	2183	1303	533	2190	2279
ENSG00000001167	1894	1822	2073	1416	4676	2486	2021	1149	493	1656	1811
ENSG00000001460	1030	1050	1172	760	1456	869	670	413	165	819	825
ENSG00000001461	2508	2075	3241	1878	4037	2223	1870	1183	511	2382	2397
ENSG00000001497	3821	3655	5523	3636	7529	3872	3383	1970	839	3871	4192
ENSG00000001561	1764	1727	2243	1611	3577	2222	2199	1123	437	1721	1716
ENSG00000001617	489	379	961	556	1301	656	377	285	115	521	493
ENSG00000001626	0	1	5	1	1	0	2	3	1	1	1
ENSG00000001629	1782	1614	1578	1018	3675	2046	1812	1092	428	1771	1800
ENSG00000001630	4502	4306	5007	3111	10113	5882	6931	3608	1570	5090	5002
ENSG00000001631	1492	1598	1573	998	3522	2060	1779	963	367	1653	1818
ENSG00000002016	394	478	487	386	1509	780	407	265	93	548	637
ENSG00000002079	2	1	2	3	3	1	1	0	0	4	1
ENSG00000002330	1473	1424	1749	1140	2610	1309	1341	1056	379	1190	1269
ENSG00000002549	2577	2619	3685	2415	4463	2346	2331	1266	512	2329	2327
ENSG00000002586	6711	6135	10005	6485	12591	7230	6181	4201	1673	5857	5889
ENSG00000002587	28	30	56	51	53	41	18	11	5	32	33
ENSG00000002726	0	1	0	1	2	0	0	0	2	1	0
ENSG00000002745	1	6	5	7	8	4	2	0	0	7	9
ENSG00000002746	35	46	47	28	52	30	19	7	5	20	24
ENSG00000002822	915	768	1074	750	1479	766	747	532	206	787	773
ENSG00000002834	3716	2970	5420	3498	6006	3174	3128	1962	817	4080	4050
ENSG00000002919	1008	1082	1328	831	2025	964	1040	561	256	984	1080
ENSG00000002933	1	9	3	1	9	4	6	3	0	3	3
ENSG00000003056	4159	3895	5824	3614	9744	5265	5079	3109	1300	4628	4882
ENSG00000003096	971	907	1368	893	1734	966	860	443	191	810	828
ENSG00000003137	234	190	249	146	531	284	206	146	58	223	291
ENSG00000003147	394	394	737	579	840	514	405	312	118	451	452
ENSG00000003249	1347	1123	2582	1770	3089	1489	1363	1094	434	1507	1820
ENSG00000003393	1601	1494	2441	1662	3235	1742	1419	790	339	1476	1547
ENSG00000003400	450	407	605	370	848	438	356	197	80	444	430
ENSG00000003402	931	979	1151	797	2006	1110	911	600	214	981	1114
ENSG00000003436	636	629	1133	763	1079	677	820	521	219	670	785
ENSG00000003509	745	762	889	589	1595	894	631	363	163	768	888
ENSG00000003756	2527	2800	2647	1794	7824	3952	2314	1648	628	2960	3125
ENSG00000003987	157	155	270	154	293	165	129	80	25	245	301
ENSG00000003989	1470	1167	2591	1776	3214	1831	1481	854	362	1861	1885
ENSG00000004059	5031	5425	4710	3025	10524	5231	5738	4030	1519	4772	5167
ENSG00000004139	648	526	815	551	2003	955	322	221	91	637	678
ENSG00000004142	6633	6698	11045	7199	13801	7317	6980	4874	1834	7769	8134
ENSG00000004399	2723	2221	4046	2538	4861	2658	1676	1250	503	2594	2180
ENSG00000004455	9172	9225	9321	6027	12814	6893	7363	4328	1782	7527	8090
ENSG00000004468	3	2	2	5	5	6	1	1	0	5	8
ENSG00000004478	11798	11536	16500	10477	21095	10976	10029	6352	2401	10869	10810
ENSG00000004487	9099	8567	10540	7028	15300	8073	6692	3736	1596	8765	9022
ENSG00000004534	2095	2159	2805	1863	5290	2907	1935	1195	478	2265	2497
ENSG00000004660	671	660	692	439	1281	577	500	383	116	815	738
ENSG00000004700	2973	2919	4478	2947	5100	2950	2839	1356	548	2836	2847
ENSG00000004766	850	928	869	564	1634	921	989	489	211	761	784
ENSG00000004776	5	1	9	9	11	5	3	1	0	4	6
ENSG00000004777	611	670	459	352	1692	837	471	520	180	862	887
ENSG00000004779	2976	3948	5106	3508	6742	3601	3999	2527	1022	3052	3454
ENSG00000004799	113	129	99	59	182	104	71	49	18	118	146
ENSG00000004809	12	12	18	4	23	20	8	8	3	10	6
